,open_covid_region_code,region_name,date,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Laryngitis,symptom:Ventricular fibrillation,hospitalized_new,hospitalized_cumulative
0,US-ME,Maine,2020-03-09,34.09676255708197,33.86954548048334,34.309778566393184,59.10484205021872,29.22579647749883,0.0,0.0
1,US-ME,Maine,2020-03-16,36.17011838104447,37.03638348557674,33.571323067447636,52.41613935784653,19.498065385619967,0.0,0.0
2,US-ME,Maine,2020-03-23,25.945349934106105,50.0161589862735,29.680230630696087,38.59850088719233,26.555995827464923,0.0,0.0
3,US-ME,Maine,2020-03-30,17.73713304198058,34.054159355219724,21.969051093630075,26.59859902932717,19.95249953881723,49.0,49.0
4,US-ME,Maine,2020-04-06,18.70280561752476,30.54649573522837,18.503990675500958,28.06130895993085,21.401008402133495,6.0,92.0
5,US-ME,Maine,2020-04-13,19.611673923919284,24.056607984879992,24.056607984879992,17.382106359795223,22.238871372090948,4.0,124.0
6,US-ME,Maine,2020-04-20,14.186866220126984,28.813965526163813,25.888545664956446,24.21281972504155,15.450761208706865,2.0,138.0
7,US-ME,Maine,2020-04-27,11.616473041104976,23.44596209152117,25.888545664956446,19.157239770722022,21.81283935346851,2.0,161.0
8,US-ME,Maine,2020-05-04,19.66847819306894,32.77606329935243,27.450663066572027,21.514616940432813,20.279124086427757,3.0,186.0
9,US-ME,Maine,2020-05-11,17.11228608133435,17.11228608133435,25.87434459766903,12.525341347499499,12.724156289523302,1.0,200.0
10,US-ME,Maine,2020-05-18,9.713530024591448,17.92174691671697,29.15479114106176,12.525341347499499,20.30752622100259,7.0,223.0
11,US-ME,Maine,2020-05-25,16.189216707652413,13.846040605229037,29.38200821766039,9.372704409693501,21.28739986383418,5.0,257.0
12,US-ME,Maine,2020-06-01,14.101659816402496,14.314675825713712,28.84236766073864,18.106360791453355,19.79628779865567,1.0,284.0
13,US-ME,Maine,2020-06-08,13.476812855756263,21.81283935346851,36.99378028371451,15.393956939557206,38.925125434802865,3.0,301.0
14,US-ME,Maine,2020-06-15,13.320601115594705,18.773810953961835,36.24112371748154,20.747759306912435,37.7748389845223,3.0,317.0
15,US-ME,Maine,2020-06-22,10.395181254387339,22.28147457395319,16.345428447813973,18.2483714643275,34.38078390283026,0.0,336.0
16,US-ME,Maine,2020-06-29,18.163165060603014,15.66377721801808,38.00205606112093,14.201067287414396,26.10156167426766,1.0,347.0
17,US-ME,Maine,2020-07-06,14.4992897004501,20.20811874999069,31.852993925670493,25.519317915483672,25.519317915483672,0.0,359.0
18,US-ME,Maine,2020-07-13,19.100435501572363,15.408158006844621,38.612701954479746,17.254296754208493,26.087360606980248,1.0,372.0
19,US-ME,Maine,2020-07-20,19.341853645458407,17.282698888783322,44.03750965827205,22.02585536277973,25.107486964148652,0.0,375.0
20,US-ME,Maine,2020-07-27,22.93472366917425,17.651926638256096,44.63395448434345,19.682679260356355,22.522892717839234,2.0,383.0
21,US-ME,Maine,2020-08-03,16.430634851538457,13.192791510007973,43.41266269762581,19.881494202380157,24.951275223987096,1.0,389.0
22,US-ME,Maine,2020-08-10,10.721805801997869,23.673179168119802,44.917975830091734,19.214044039871677,15.777385756317395,0.0,393.0
23,US-ME,Maine,2020-08-17,18.660202415662518,18.2483714643275,35.48846715124858,24.12761332131706,18.447186406351303,-1.0,399.0
24,US-ME,Maine,2020-08-24,13.150188308145731,20.73355823962502,38.4706912816056,22.522892717839234,20.321727288290003,1.0,409.0
25,US-ME,Maine,2020-08-31,12.482738145637255,20.747759306912435,33.64232840388471,18.333577868051986,27.990303623493777,0.0,420.0
26,US-ME,Maine,2020-09-07,11.289848493494446,27.337054528272716,40.217422557957576,18.418784271776474,31.10033735943753,3.0,427.0
27,US-ME,Maine,2020-09-14,13.008177635271588,28.174917498230165,26.399784087303363,27.97610255620636,26.59859902932717,0.0,431.0
28,US-ME,Maine,2020-09-21,16.558444457125187,23.658978100832385,43.56887443778737,17.154889283196592,24.653052810951394,1.0,440.0
29,US-ME,Maine,2020-09-28,13.107585106283489,29.339405015798146,52.61495429987034,20.15131448084103,23.474364226096,1.0,446.0
30,US-MT,Montana,2020-03-09,10.05847544975619,9.274791515500704,8.670851602863449,14.825286903071667,6.1544353002082195,0.0,0.0
31,US-MT,Montana,2020-03-16,9.512053624036769,9.785264536896479,6.104106974155115,14.717440490100728,5.53971074627387,0.0,0.0
32,US-MT,Montana,2020-03-23,6.262281713179158,12.10036753533929,6.341369082691179,9.181324624259224,4.924986192339521,0.0,0.0
33,US-MT,Montana,2020-03-30,4.220389627596057,8.771508254969657,5.845275583024863,6.981257799652081,5.845275583024863,2.0,10.0
34,US-MT,Montana,2020-04-06,4.184440823272411,6.938119234463705,6.104106974155115,8.28260451616807,4.853088583692228,0.0,24.0
35,US-MT,Montana,2020-04-13,4.055025127707284,6.082537691560927,7.865598386013775,6.406076930473742,5.67991108313609,0.0,47.0
36,US-MT,Montana,2020-04-20,3.86449646479196,5.4570284963294835,6.132866017614031,5.960311756860529,6.97406803878735,2.0,57.0
37,US-MT,Montana,2020-04-27,3.6739678018766355,6.147245539343491,5.298853757305441,4.702103605532915,4.270717953649162,0.0,61.0
38,US-MT,Montana,2020-05-04,4.227579388460786,5.514546583247317,9.31074031982435,5.428269452870567,6.549872147768326,1.0,62.0
39,US-MT,Montana,2020-05-11,4.581315623005464,5.5001670615178595,6.104106974155115,3.8680913452243244,8.93687275485843,0.0,62.0
40,US-MT,Montana,2020-05-18,4.935051857550142,5.284474235575982,7.8440291034195875,4.055025127707284,4.8458988228274995,1.0,64.0
41,US-MT,Montana,2020-05-25,5.28878809209482,4.946555474933708,9.159755341665036,3.8465220626301364,7.2328994299176035,0.0,65.0
42,US-MT,Montana,2020-06-01,5.6425243266394975,5.097540453093022,6.97406803878735,5.543305626706235,5.816516539565945,0.0,67.0
43,US-MT,Montana,2020-06-08,5.996260561184176,4.881847627151146,7.693044125260273,4.112543214625118,6.70804688679237,0.0,69.0
44,US-MT,Montana,2020-06-15,5.425872865915657,4.666154801209269,6.643339039009806,4.306666757972808,7.36231512548273,1.0,78.0
45,US-MT,Montana,2020-06-22,4.855485170647138,4.220389627596057,8.074101451090923,3.7674346931181155,6.729616169386556,1.0,90.0
46,US-MT,Montana,2020-06-29,4.2850974753786195,4.831519301098041,7.196950625593956,5.464218257194212,6.650528799874536,3.0,100.0
47,US-MT,Montana,2020-07-06,3.9112299104127,5.133489257416668,8.699610646322366,5.478597778923672,7.218519908188144,0.0,112.0
48,US-MT,Montana,2020-07-13,4.1377073776516715,5.0328326053104595,6.075347930696197,6.945308995328434,5.816516539565945,5.0,133.0
49,US-MT,Montana,2020-07-20,4.364184844890642,4.184440823272411,7.937495994661067,5.996260561184176,6.370128126150095,2.0,167.0
50,US-MT,Montana,2020-07-27,5.564874909300422,4.090973932030931,8.699610646322366,5.047212127039917,5.047212127039917,2.0,201.0
51,US-MT,Montana,2020-08-03,5.087954105273384,3.558931628040968,7.283227755970708,5.119109735687211,4.766811453315478,3.0,236.0
52,US-MT,Montana,2020-08-10,4.611033301246344,3.983127519059992,10.748692492770195,5.111919974822481,5.543305626706235,1.0,273.0
53,US-MT,Montana,2020-08-17,4.134112497219306,4.5187647034823195,8.519866624704134,4.299476997108078,4.134112497219306,4.0,330.0
54,US-MT,Montana,2020-08-24,3.975937758195263,5.054401887904647,8.203517146656049,4.4720312578615795,7.872788146878504,4.0,383.0
55,US-MT,Montana,2020-08-31,6.24071243058497,3.609259954094072,7.8008905382312115,3.4438954542053,6.981257799652081,4.0,436.0
56,US-MT,Montana,2020-09-07,4.867468105421687,8.598953994216156,8.757128733240199,5.270094713846524,6.406076930473742,12.0,498.0
57,US-MT,Montana,2020-09-14,5.67991108313609,6.23352266972024,7.024396364840455,5.047212127039917,7.340745842888542,6.0,531.0
58,US-MT,Montana,2020-09-21,5.794947256971758,7.8008905382312115,8.203517146656049,3.53736234544678,8.850595624481679,6.0,576.0
59,US-MT,Montana,2020-09-28,6.427646213067929,6.506733582579952,9.353878885012724,6.096917213290386,7.8871676686079635,11.0,698.0
